[2025-09-28 21:57:04] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo1 (Level: 3) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:07] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo1 (Level: 3) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:15] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo2 (Level: 2) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:18] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo2 (Level: 2) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:24] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo3 (Level: 1) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:28] | Model: Bell-LaPadula | User: Vanesa (Role: admin) | File: archivo3 (Level: 1) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:37] | Model: Biba | User: Vanesa (Role: admin) | File: archivo1 (Level: 3) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:41] | Model: Biba | User: Vanesa (Role: admin) | File: archivo1 (Level: 3) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:57:50] | Model: Biba | User: Vanesa (Role: admin) | File: archivo2 (Level: 2) | Action: read | Result: Failure | Message: Los administradores no pueden leer recursos clasificados como confidenciales.
[2025-09-28 21:57:57] | Model: Biba | User: Vanesa (Role: admin) | File: archivo2 (Level: 2) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:58:08] | Model: Biba | User: Vanesa (Role: admin) | File: archivo3 (Level: 1) | Action: read | Result: Failure | Message: Los administradores no pueden leer recursos clasificados como públicos.
[2025-09-28 21:58:12] | Model: Biba | User: Vanesa (Role: admin) | File: archivo3 (Level: 1) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:58:23] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo1 (Level: 3) | Action: read | Result: Failure | Message: Los usuarios no pueden leer ni escribir en recursos clasificados como secretos.
[2025-09-28 21:58:26] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo1 (Level: 3) | Action: write | Result: Failure | Message: Los usuarios no pueden leer ni escribir en recursos clasificados como secretos.
[2025-09-28 21:58:34] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo2 (Level: 2) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:58:38] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo2 (Level: 2) | Action: write | Result: Failure | Message: Los usuarios solo pueden leer recursos clasificados como confidenciales.
[2025-09-28 21:58:52] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo3 (Level: 1) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:58:57] | Model: Bell-LaPadula | User: Natacha (Role: user) | File: archivo3 (Level: 1) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:59:09] | Model: Biba | User: Natacha (Role: user) | File: archivo1 (Level: 3) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:59:14] | Model: Biba | User: Natacha (Role: user) | File: archivo1 (Level: 3) | Action: write | Result: Failure | Message: Los usuarios solo pueden leer recursos clasificados como secretos.
[2025-09-28 21:59:22] | Model: Biba | User: Natacha (Role: user) | File: archivo2 (Level: 2) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:59:26] | Model: Biba | User: Natacha (Role: user) | File: archivo2 (Level: 2) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:59:33] | Model: Biba | User: Natacha (Role: user) | File: archivo3 (Level: 1) | Action: read | Result: Failure | Message: Los usuarios no pueden leer recursos clasificados como públicos.
[2025-09-28 21:59:37] | Model: Biba | User: Natacha (Role: user) | File: archivo3 (Level: 1) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 21:59:50] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo1 (Level: 3) | Action: read | Result: Failure | Message: Los invitados no pueden leer ni escribir en recursos clasificados como secretos.
[2025-09-28 21:59:53] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo1 (Level: 3) | Action: write | Result: Failure | Message: Los invitados no pueden leer ni escribir en recursos clasificados como secretos.
[2025-09-28 22:00:00] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo2 (Level: 2) | Action: read | Result: Failure | Message: Los invitados no pueden leer ni escribir en recursos clasificados como confidenciales.
[2025-09-28 22:00:02] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo2 (Level: 2) | Action: write | Result: Failure | Message: Los invitados no pueden leer ni escribir en recursos clasificados como confidenciales.
[2025-09-28 22:00:10] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo3 (Level: 1) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 22:00:13] | Model: Bell-LaPadula | User: Canela (Role: guest) | File: archivo3 (Level: 1) | Action: write | Result: Failure | Message: Los invitados solo pueden leer recursos clasificados como públicos.
[2025-09-28 22:00:24] | Model: Biba | User: Canela (Role: guest) | File: archivo1 (Level: 3) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 22:00:27] | Model: Biba | User: Canela (Role: guest) | File: archivo1 (Level: 3) | Action: write | Result: Failure | Message: Los invitados solo pueden leer recursos clasificados como secretos.
[2025-09-28 22:00:39] | Model: Biba | User: Canela (Role: guest) | File: archivo2 (Level: 2) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 22:00:42] | Model: Biba | User: Canela (Role: guest) | File: archivo2 (Level: 2) | Action: write | Result: Failure | Message: Los invitados solo pueden leer recursos clasificados como confidenciales.
[2025-09-28 22:00:48] | Model: Biba | User: Canela (Role: guest) | File: archivo3 (Level: 1) | Action: read | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
[2025-09-28 22:00:50] | Model: Biba | User: Canela (Role: guest) | File: archivo3 (Level: 1) | Action: write | Result: Success | Message: Acceso concedido, tienes los permisos necesarios para realizar esta acción.
